,accuracy,algorithm,average_precision_score,dataset_path,f1_score,features,outlier_percentage,params,precision,samples,time_taken
0,0.3719790986283475,OPTICS,0.027009327323912067,datasets/csv/musk.csv,0.0243531202435312,167,96.83213585891575,{'n_jobs': 3},0.012806830309498399,3062,39.30247950553894
1,0.9444444444444444,OPTICS,0.30952380952380953,datasets/csv/wbc.csv,0.5333333333333333,31,94.44444444444444,{'n_jobs': 3},0.5,378,1.1253490447998047
2,0.028950542822677925,OPTICS,0.009396329864973251,datasets/csv/satimage-2.csv,0.014687882496940027,37,98.77649491642254,{'n_jobs': 3},0.007436260623229462,5803,221.48098421096802
3,0.35046728971962615,OPTICS,0.03602702995923807,datasets/csv/glass.csv,0.027972027972027972,10,95.7943925233645,{'n_jobs': 3},0.014925373134328358,214,0.9064273834228516
4,0.17582417582417584,OPTICS,0.04,datasets/csv/vowels.csv,0.07692307692307693,13,96.56593406593407,{'n_jobs': 3},0.04,1456,6.053614139556885
5,0.2670671764063353,OPTICS,0.081499465803125,datasets/csv/cardio.csv,0.12057667103538663,22,90.38776624795194,{'n_jobs': 3},0.06814814814814815,1831,6.1195573806762695
6,0.10561620412994871,OPTICS,0.09192144203159265,datasets/csv/mnist.csv,0.16809395644727182,101,90.79310798369065,{'n_jobs': 3},0.09191865132459191,7603,157.99955892562866
7,0.5356125356125356,OPTICS,0.42653717745968667,datasets/csv/ionosphere.csv,0.5894206549118388,34,64.1025641025641,{'n_jobs': 3},0.4317343173431734,351,1.0915577411651611
8,0.5270608264323847,OPTICS,0.0002788929699281407,datasets/csv/smtp.csv,0.00026657780739753413,4,99.96847282357392,{'n_jobs': 3},0.0001333777925975325,95156,1468.23068857193
9,0.5658914728682171,OPTICS,0.07185077519379846,datasets/csv/wine.csv,0.034482758620689655,14,92.24806201550388,{'n_jobs': 3},0.020833333333333332,129,0.38287806510925293
10,0.6207906295754027,OPTICS,0.45870321807741093,datasets/csv/breastw.csv,0.6128550074738416,10,65.00732064421669,{'n_jobs': 3},0.47674418604651164,683,3.1480202674865723
11,0.2791666666666667,OPTICS,0.12877806563039723,datasets/csv/vertebral.csv,0.22421524663677128,7,87.5,{'n_jobs': 3},0.12953367875647667,240,0.8654177188873291
12,0.4512206027005276,OPTICS,0.0340793800815217,datasets/csv/mammography.csv,0.06859918045226893,7,97.67504247518555,{'n_jobs': 3},0.0357086427555696,11183,244.23114013671875
13,0.766349837356255,OPTICS,0.0038509994464136954,datasets/csv/http.csv,0.00040708631737655486,4,99.61039510271402,{'n_jobs': 3},0.0002069933072164,567498,28547.084265947342
14,0.2905405405405405,OPTICS,0.05405405405405406,datasets/csv/lympho.csv,0.10256410256410257,19,95.94594594594594,{'n_jobs': 3},0.05405405405405406,148,0.5072832107543945
15,0.15953420669577875,OPTICS,0.022214875689232742,datasets/csv/pendigits.csv,0.04308916141862778,17,97.7292576419214,{'n_jobs': 3},0.022116366110922082,6870,40.36332082748413
16,0.06882668711656442,OPTICS,0.029008752388447384,datasets/csv/optdigits.csv,0.05634350106858364,65,97.12423312883436,{'n_jobs': 3},0.02901741044626776,5216,57.661365032196045
17,0.363125,OPTICS,0.08738452914798207,datasets/csv/letter.csv,0.16131687242798354,33,93.75,{'n_jobs': 3},0.08789237668161436,1600,6.097368955612183
18,0.4114583333333333,OPTICS,0.35111764764885256,datasets/csv/pima.csv,0.490990990990991,9,65.10416666666666,{'n_jobs': 3},0.35161290322580646,768,4.005106449127197
19,0.1570796460176991,OPTICS,0.1476510067114094,datasets/csv/arrhythmia.csv,0.2573099415204679,275,85.39823008849558,{'n_jobs': 3},0.1476510067114094,452,2.220897674560547
20,0.1526666853115561,OPTICS,0.0085833928048418,datasets/csv/cover.csv,0.01621924391372466,11,99.03967166349703,{'n_jobs': 3},0.008201061458705316,286048,11307.77530837059
21,0.9834508952794357,OPTICS,0.016549104720564298,datasets/csv/speech.csv,0.0,401,98.34508952794357,{'n_jobs': 3},0.0,3686,284.18674969673157
22,0.32916666666666666,OPTICS,0.08340522705691245,datasets/csv/annthyroid.csv,0.15470773538676932,7,92.58333333333333,{'n_jobs': 3},0.08532818532818533,7200,41.293917179107666
23,0.3268835163044585,OPTICS,0.06609921048009625,datasets/csv/shuttle.csv,0.11323387356445208,10,92.84885023524859,{'n_jobs': 3},0.06250555440353112,49097,856.4886317253113
24,1.0,OPTICS,,datasets/csv/ecoli.csv,0.0,8,100.0,{'n_jobs': 3},0.0,336,0.04212474822998047
25,0.3052059052059052,OPTICS,0.30519453101900434,datasets/csv/satellite.csv,0.45865116842232717,37,68.36052836052836,{'n_jobs': 3},0.30435481279125826,6435,58.056896448135376
26,0.15482502651113467,OPTICS,0.02341110161242621,datasets/csv/thyroid.csv,0.044937088076692625,7,97.53446447507953,{'n_jobs': 3},0.023112480739599383,3772,15.97526478767395
